"Datetime","Customer","Sku","Qty","Amt"
"2015-01","111104","167752","1","726.72"
"2015-01","201003","167752","1","726.72"
"2015-01","201239","167752","2","1453.44"
"2015-01","202149","167752","2","1727.1"
"2015-01","202161","167752","1","863.55"
"2015-01","202163","167752","1","863.55"
"2015-01","203079","167752","2","1453.44"
"2015-01","210035","167752","1","726.72"
"2015-01","210074","167752","2","1453.44"
"2015-01","211010","167752","4","2906.88"
"2015-01","211146","167752","6","4360.32"
"2015-01","211230","167752","8","5813.76"
"2015-01","212038","167752","12","8546.28"
"2015-01","213091","167752","2","1453.44"
"2015-01","216053","167752","12","8720.720000000001"
"2015-01","216097","167752","1","726.72"
"2015-01","216318","167752","2","1453.46"
"2015-01","218044","167752","2","1453.44"
"2015-01","219540","167752","1","726.72"
"2015-01","219632","167752","2","1453.44"
"2015-01","220380","167752","2","1453.44"
"2015-01","223048","167752","2","1409.84"
"2015-01","223057","167752","2","1453.44"
"2015-01","223085","167752","4","2906.88"
"2015-01","602205","167752","1","863.55"
"2015-01","602247","167752","2","1727.1"
"2015-01","602249","167752","1","863.55"
"2015-01","602260","167752","2","1727.1"
"2015-01","618072","167752","1","863.55"
"2015-01","618074","167752","1","863.55"
"2015-01","618077","167752","1","863.55"
"2015-01","618084","167752","1","863.55"
"2015-01","691001","167752","0.0833","67.2897"
"2015-02","109006","167752","2","1453.46"
"2015-02","119450","167752","2","1395.32"
"2015-02","120032","167752","2","1409.84"
"2015-02","181003","167752","4","2906.88"
"2015-02","202150","167752","1","863.55"
"2015-02","202161","167752","1","863.55"
"2015-02","202185","167752","1","863.55"
"2015-02","214138","167752","2","1453.44"
"2015-02","216318","167752","2","1453.46"
"2015-02","219169","167752","2","1409.84"
"2015-02","219305","167752","2","1453.44"
"2015-02","219683","167752","1","697.65"
"2015-02","223048","167752","2","1409.84"
"2015-02","602229","167752","1","863.55"
"2015-02","618072","167752","1","863.55"
"2015-02","691001","167752","0.0833","84.1121"
"2015-03","111092","167752","2","1453.46"
"2015-03","119363","167752","2","1453.44"
"2015-03","201003","167752","2","1453.44"
"2015-03","203103","167752","2","1453.44"
"2015-03","207014","167752","2","1453.44"
