YM,QTY
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,12600
2019-06,0
2019-07,14000
2019-08,12000
2019-09,0
2019-10,0
2019-11,0
2019-12,21000
2020-01,0
2020-02,0
2020-03,0
2020-04,0
2020-05,0
2020-06,0
2020-07,0
2020-08,70
2020-09,0
2020-10,224
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,224
2021-04,0
2021-05,224
2021-06,0
2021-07,0
2021-08,0
2021-09,0
2021-10,0
2021-11,0
2021-12,0
