invoiceyear,productcgcode,productcode,invoiceamt,invoiceqty
2017,10011,61845,1248030.48,4108
2017,10011,61852,1750059.52,5792
2017,10011,75590,855218.12,5015
2017,10011,75743,52252.11,558
2017,10011,194383,209296.9728,4221
2017,10011,234829,310015.92,5352
2017,10011,234980,227312.01,3876
2017,10011,235161,68338.77,1272
2017,10011,235185,30549.44,564
2017,10011,235314,10369.44,192
2017,90242,134426,14437051.2,451440
2018,10011,13622,107727127.7623,2206898
2018,10011,42271,1675451.2467,33511
2018,10011,42288,2134910.851,43018
2018,10011,42295,3736055.5452,74006
2018,10011,61821,10896919.84,35962
2018,10011,61838,497524,1668
2018,10011,61845,1133757.24,3767
2018,10011,61852,1888161.84,6252
2018,10011,75590,454927.33,2555
2018,10011,75743,1396.8,16
2018,10011,194383,279347.1483,5675
2018,10011,234829,390881.88,6732
2018,10011,234980,251083.66,4284
2018,10011,235161,63882.63,1188
2018,10011,235185,28711.95,528
2018,10011,235314,21392.74,396
2018,90242,134426,13399364.16,418992
2018,90242,273156,9984391.97,329244
2018,90243,273163,1618025.98,27396
2018,90245,273187,751184.4787,5569
2019,10011,13622,93117357.81812,1905477
2019,10011,42271,1324974.2808,26417
2019,10011,42288,1520294.3609,30348
2019,10011,42295,3060231.6385,61725
2019,10011,61821,11799655.94,39216
2019,10011,61838,605698.76,2038
2019,10011,61845,1128492.2,3696
2019,10011,61852,1869649.87,6176
2019,10011,75590,445725.66,2513
2019,10011,194383,231286.9702,4778
2019,10011,234829,486061.86,8592
2019,10011,234980,241261.93,4164
2019,10011,235161,63161.38,1176
2019,10011,235185,52604.5,984
2019,10011,235314,42529.92,792
2019,90242,134426,11922655.68,372816
2019,90242,273156,49066713.93056,1609994
2019,90242,281144,617483.51,12080
2019,90243,273163,15760993.03362,264770
2019,90245,273187,3268585.11,24462
2020,10011,13622,82784645.35,1698051
2020,10011,42271,965336.99,19476
2020,10011,42288,1108404.6,22597
2020,10011,42295,2288467.64,46597
2020,10011,61821,10300856.22,35097
2020,10011,61838,472796.94,1540
2020,10011,61845,979147,3228
2020,10011,61852,1493921.35,4916
2020,10011,75590,284501.09,1591
2020,10011,194383,156636.5,3503
2020,10011,234829,371361.64243,6646
2020,10011,234980,97849.42,1701
2020,10011,235161,32827.68,612
2020,10011,235185,27173.17,504
2020,10011,235314,29072.88,542
2020,10011,FI610777,35168,112
2020,90242,134426,9191819.52,287424
2020,90242,273156,52398960.59,1714129
2020,90242,FI611620,1449901.64,49727
2020,90243,273163,20035094.76046,329816
2020,90243,291471,548366.22,6498
2020,90243,FI611637,1742852.23,31761
2020,90245,273187,6154432.04,46241
2020,90245,FI611651,215086.18,1734
2021,10011,13622,81140386.55804,1617408
2021,10011,42271,871352.18,17322
2021,10011,42288,1137237.09,22494
2021,10011,42295,1732001.82,34444
2021,10011,61821,10438442.33,35747
2021,10011,61838,361676.48,1152
2021,10011,61845,693818.27,2226
2021,10011,61852,1125386.4,3616
2021,10011,75590,388444.62,2267
2021,10011,194383,118464.62,2389
2021,10011,234829,297598.56,5172
2021,10011,234980,43368,780
2021,10011,235161,20597.76,384
2021,10011,235185,17499.24,324
2021,10011,235314,19310.4,360
2021,10011,FI610739,101414.4,1824
2021,10011,FI610746,53376,960
2021,10011,FI610753,196156.8,3528
2021,10011,FI610777,233616,744
2021,10011,FI610784,160768,512
2021,10011,FI610791,163280,520
2021,90242,134426,6849348.36,214176
2021,90242,273156,59657524.69411,1951244
2021,90242,295288,748854.94,17076
2021,90242,295301,367308.84,7236
2021,90242,FI611620,31044.51,843
2021,90243,273163,27324302.07477,452513
2021,90243,291471,768624.12,9108
2021,90243,FI611637,12716.66,165
2021,90245,273187,6241954.0129,47856
2021,90245,FI611651,65578.98,1302
2022,10011,13622,76591095.98283,1473989
2022,10011,42271,808301.55,15374
2022,10011,42288,899588.22,17196
2022,10011,42295,1869800.47,35549
2022,10011,61821,11623370.03,36144
2022,10011,61838,603118.44,1780
2022,10011,61845,723418.08,2208
2022,10011,61852,1140440.66,3456
2022,10011,75590,391571.56,2240
2022,10011,194383,57956.16,1043
2022,10011,234829,246456.36,4176
2022,10011,234980,49861.56,852
2022,10011,235161,26315.76,456
2022,10011,235185,16203,300
2022,10011,235314,13157.88,228
2022,10011,FI610739,186727.2,3240
2022,10011,FI610746,113573.28,1968
2022,10011,FI610753,100398.96,1752
2022,10011,FI610777,73504.2,220
2022,90242,134426,5437161.02,160896
2022,90242,273156,87660176.2386,2766712
2022,90242,295288,90601.5,2136
2022,90242,295301,52528.76301,1179
2022,90242,304881,129941.28,2520
2022,90242,304898,103481.28,2016
2022,90242,FI611620,12816.23,341
2022,90243,273163,53557535.59395,849724
2022,90243,291471,1365936.12,16212
2022,90243,299347,126768.37129,1487
2022,90243,299354,123354.22027,1470
2022,90243,301965,774207.82,10261
2022,90243,FI611637,14979.79,180
2022,90245,273187,10298459.46582,77323
2022,90245,FI611651,26280.31,1457
2023,10011,13622,1031535.91,18627
2023,10011,42271,54812.72,942
2023,10011,42288,16387.62,276
2023,10011,42295,26463.66,440
2023,10011,61821,608333.72,1900
2023,10011,61838,18183.32,52
2023,10011,61845,6682.2,20
2023,10011,61852,75403.6,220
2023,10011,75590,8219.74,46
2023,10011,194383,3087.05,48
2023,10011,234829,22072.92,372
2023,10011,234980,3515.88,60
