,Quarter,Region,State,Purpose,Trips
0,2015-01-05,691001,155285,4392711.472700011,49012.15870000001
1,2015-01-06,691001,163365,5839155.950000039,42186.215099999994
2,2015-01-07,691001,168346,7332038.2228000285,68905.58739999999
3,2015-01-08,691001,138004,7069219.518000001,91985.22720000002
4,2015-01-09,691001,018566,5025787.23859997,58531.01060000003
5,2015-01-10,864001,141790,6273834.279999994,70374.31229999996
6,2015-01-11,115016,176709,1697880.029999996,10065
7,2015-01-12,691001,148980,7405861.372399979,198681.05080000006
8,2015-01-13,691001,151164,7926003.005699972,149390.9957000001
9,2015-01-14,691001,143305,9041228.306600034,145251.89550000022
10,2015-01-15,691001,137175,10839009.927199956,118086.1347
11,2015-01-16,691001,209216,12747578.057099907,145579.79989999998
12,2015-01-17,119224,163471,11650651.94000001,95924.53670000001
13,2015-01-19,691001,161064,6612015.620299971,74237.51490000001
14,2015-01-20,691001,173395,8043820.377200049,78943.77789999994
15,2015-01-21,691001,105068,8926611.108899985,31391.465700000066
16,2015-01-22,105022,043223,9047560.000000022,55891.97760000002
17,2015-01-23,711005,196554,18770333.71999989,611157.6167999998
18,2015-01-24,522027,114794,12872342.389999999,108538.75850000005
19,2015-01-26,691001,145637,7887992.959999971,98049.97860000003
20,2015-01-27,691001,183059,10579600.656000024,93118.234
21,2015-01-28,691001,120146,11367078.762399998,132133.60409999988
22,2015-01-29,691001,030063,14035615.300700026,166194.0473
23,2015-01-30,691001,194895,14072057.55549991,491881.0673
24,2015-01-31,119408,119171,5406209.5,46390.08700000003
25,2015-02-01,202079,210410,989361.0399999996,5559.3333
26,2015-02-02,691001,159559,8620160.597799933,113811.17619999997
27,2015-02-03,691001,188986,6287242.8456000015,44871.22319999998
28,2015-02-04,691001,089771,7343638.007000002,51075.63859999999
29,2015-02-05,691001,189044,8218521.487400008,67680.8489
30,2015-02-06,691001,200213,1894024.9939999972,11555.2078
31,2015-02-07,226001,192983,8232755.810000033,45085.200000000004
32,2015-02-08,202149,105006,911570.399999999,4739.6
33,2015-02-09,691001,170080,10422692.402600005,124787.45429999998
34,2015-02-10,691001,137878,2689155.21470006,112252.3805
35,2015-02-11,691001,209216,16500407.785999924,116679.79100000003
36,2015-02-12,691001,202415,10022250.069799975,82637.2843
37,2015-02-13,691007,200718,10015033.510499995,89657.26020000002
38,2015-02-14,203091,123321,11022107.250000037,92465.8167
39,2015-02-16,691001,107352,9746812.085999914,147508.2892
40,2015-02-17,691001,134952,11613478.028199982,75653.09210000001
