Date,Passengers
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,180
2018-10,0
2018-11,0
2018-12,180
2019-01,0
2019-02,0
2019-03,0
2019-04,180
2019-05,0
2019-06,600
2019-07,36
2019-08,0
2019-09,1536
2019-10,0
2019-11,0
2019-12,0
2020-01,0
2020-02,0
2020-03,0
2020-04,0
2020-05,600
2020-06,0
2020-07,432
2020-08,0
2020-09,0
2020-10,1680
2020-11,0
2020-12,0
