"Datetime","Sku","Customer","Qty","Amt"
"4/23/2015","691001","194512","903.2499","93785.44209999997"
"4/24/2015","691001","148744","1517.5833","299082.47609999974"
"4/25/2015","202073","134945","3492","840663.7300000008"
"4/26/2015","612026","148652","643","70040.29999999997"
"4/27/2015","691001","148720","5127.1664","775169.4827999993"
"4/28/2015","691001","163631","1604.0001","257853.04479999962"
"4/29/2015","691001","194512","1673.7499","147821.8016"
"4/30/2015","691001","139162","1259.5833","188931.58399999974"
"5/4/2015","691001","194482","1160.3331","151318.978"
"5/5/2015","603160","192877","2181","263949.94999999984"
"5/6/2015","691001","123321","2747.9166","297685.4214999989"
"5/7/2015","691001","173517","2222.4164","240124.68629999986"
"5/8/2015","691001","123321","2769.4164","553867.5368999995"
"5/9/2015","101076","173401","2194","253346.0599999999"
"5/10/2015","602207","116323","1769","198169.51999999984"
"5/11/2015","691001","161934","1529.1665","152536.10399999996"
"5/12/2015","691001","123321","5816.9165","654158.475"
"5/13/2015","691001","173500","5408.2498","663099.9529999994"
"5/14/2015","691001","150686","3840.75","632383.6397999997"
"5/15/2015","691001","173500","2657.0833000000002","334112.08049999946"
"5/16/2015","603160","192846","3913","479265.2199999994"
"5/18/2015","691001","173401","2967.9157999999998","337667.21900000004"
"5/19/2015","691001","163631","4552.7498","502234.0679"
"5/20/2015","691001","116354","2572.4165000000003","287752.3154999999"
"5/21/2015","691001","134952","1920.1665","235025.29620000004"
"5/22/2015","691001","150686","3172.9165000000003","521867.16829999874"
"5/23/2015","113077","150679","1151","116828.77"
"5/24/2015","618072","148416","525","80940.70999999998"
"5/25/2015","691001","144210","3060.5832","382694.0472999985"
"5/26/2015","691001","162559","2531.3333000000002","346540.4768999996"
"5/27/2015","691001","159559","1512.083","216239.4602999997"
"5/28/2015","691001","134952","1782.4999","190621.34349999993"
"5/29/2015","691001","148683","2270.8996","268460.11379999976"
"5/30/2015","115016","148737","703","95020.29"
"5/31/2015","218069","116347","633","131716.29999999996"
"6/2/2015","691001","183431","2581.9998","340614.23949999956"
"6/3/2015","691001","183448","1355.9166","216153.31709999987"
"6/4/2015","691001","148690","1643.3331","199689.42920000007"
"6/5/2015","691001","139162","1427.7498","172937.78600000005"
"6/6/2015","603160","137939","1508","214929.99999999994"
"6/7/2015","616059","192181","110","20730.81"
"6/8/2015","691001","137984","1984.2498","191743.85599999994"
"6/9/2015","691001","167110","61071.1665","220145.30830000006"
"6/10/2015","691001","138004","1408.9997","181239.38710000008"
"6/11/2015","691001","148690","1866.5832","237830.11829999997"
"6/12/2015","691001","159887","899.1663","152288.61470000024"
"6/13/2015","619295","120559","504.5","75299.98999999999"
"6/15/2015","691001","116347","1627.8331","156610.40550000002"
"6/16/2015","691001","148706","1043.8333","145059.8283"
"6/17/2015","691001","144562","2977.5199000000002","276038.4317999998"
"6/18/2015","691001","148713","3548.5827","351396.1229999996"
"6/19/2015","691001","192181","2448.5831","219043.47040000005"
"6/20/2015","208019","139162","2186","186426.13000000003"
"6/22/2015","691001","194482","2265.5832","174718.24970000007"
"6/23/2015","691001","137984","1990.833","188526.997"
"6/24/2015","691001","167110","867.4999","90702.4004"
"6/25/2015","691001","183431","1559.2499","137679.88660000003"
"6/26/2015","691001","116347","1797.25","266434.97239999985"
"6/27/2015","204045","161941","1656","182789.09999999998"
"6/29/2015","691001","159566","12434.583200000001","231809.92570000014"
"6/30/2015","691001","148683","2393.2898999999998","272820.5844999998"
"7/1/2015","691001","183462","1423.7495000000001","188752.17129999996"
"7/2/2015","691001","148683","1475.6865","230440.76510000008"
"7/3/2015","691001","137984","1244.9166","202163.5289"
"7/4/2015","615077","144562","2563","201678.89999999988"
"7/6/2015","691001","148416","741.083","120241.57009999998"
"7/7/2015","691001","194512","1658.3333","237201.69299999994"
"7/8/2015","691001","134976","1637.333","207683.39769999986"
"7/9/2015","691001","148690","849.8333","183059.45119999986"
"7/10/2015","691001","173449","1124.4999","172549.8696999998"
"7/11/2015","615047","116347","1356","182413.1999999999"
"7/13/2015","691001","148652","1076.9997","175136.31679999985"
"7/14/2015","691001","194512","1591.0828999999999","348476.8072999996"
"7/15/2015","691001","148706","3458.7499","405681.3578000005"
"7/16/2015","691001","148690","2551.9164","387906.6248999994"
"7/17/2015","691001","134976","1927.7498","249111.93229999975"
"7/18/2015","619217","134976","627","99442.78000000004"
"7/20/2015","691001","168360","1276.7499","189004.5236999999"
"7/21/2015","691001","148690","1281.4999","220349.11249999946"
