"Cg","Datetime","Customer","Sku","Channel","qty","Amt"
"010012","2019-02-08","612026","027018","200","120","5996.4"
"010012","2019-02-09","115016","027018","200","624","34694.4"
"010012","2019-02-23","612030","027018","200","1","79.44"
"010012","2019-02-26","619433","027018","200","24","2242.99"
"010012","2019-03-04","603165","027018","200","264","13192.08"
"010012","2019-03-05","612030","027018","200","12","897.2"
"010012","2019-03-09","612030","027018","200","12","897.2"
"010012","2019-03-11","612030","027018","200","12","897.2"
"010012","2019-03-11","619433","027018","200","1","93.46"
"010012","2019-03-15","115016","027018","200","432","24019.2"
"010012","2019-03-15","612026","027018","200","120","5996.4"
"010012","2019-03-20","612030","027018","200","12","897.2"
"010012","2019-03-23","619433","027018","200","12","1121.5"
"010012","2019-03-26","619433","027018","200","12","1121.5"
"010012","2019-04-01","612030","027018","200","12","897.2"
"010012","2019-04-03","603165","027018","200","24","1199.28"
"010012","2019-04-05","115016","027018","200","504","28022.4"
"010012","2019-04-05","619433","027018","200","14","1308.42"
"010012","2019-04-08","115016","027018","200","288","16012.8"
"010012","2019-04-12","612030","027018","200","12","717.76"
"010012","2019-04-18","115016","027018","200","288","16012.8"
"010012","2019-04-25","603165","027018","200","24","1199.28"
"010012","2019-04-27","612030","027018","200","14","992.53"
"010012","2019-04-30","612030","027018","200","12","681.87"
"010012","2019-05-03","603165","027018","200","24","1199.28"
"010012","2019-05-08","603165","027018","200","96","4797.12"
"010012","2019-05-08","612030","027018","200","12","825.24"
"010012","2019-05-09","612030","027018","200","2","123.92"
"010012","2019-05-10","619433","027018","200","2","145.79"
"010012","2019-05-16","619433","027018","200","36","1937.39"
"010012","2019-05-21","115016","027018","200","144","8006.4"
"010012","2019-05-21","612026","027018","200","96","4797.12"
"010012","2019-05-21","612030","027018","200","12","852.34"
"010012","2019-05-25","612030","027018","200","12","897.2"
"010012","2019-05-25","619433","027018","200","2","127.03"
"010012","2019-05-28","619433","027018","200","24","1435.51"
"010012","2019-05-30","612030","027018","200","12","897.2"
"010012","2019-06-03","115016","027018","200","120","6672"
