Datetime,QTY
6/12/2017,195
6/13/2017,629
6/14/2017,336
6/15/2017,1859
6/16/2017,373
6/17/2017,558
6/19/2017,1965
6/20/2017,631
6/21/2017,1682
6/22/2017,697
6/23/2017,4201
6/24/2017,1659
6/26/2017,2159
6/27/2017,4159
6/28/2017,563
6/29/2017,420
6/30/2017,612
7/1/2017,520
7/3/2017,140
7/4/2017,80
7/5/2017,802
7/6/2017,14
7/7/2017,773
7/10/2017,193
7/11/2017,193
7/12/2017,155
7/13/2017,502
7/14/2017,157
7/15/2017,500
7/17/2017,254
7/18/2017,924
7/19/2017,277
7/20/2017,385
7/21/2017,206
7/22/2017,288
7/24/2017,605
7/25/2017,446
7/26/2017,165
7/27/2017,223
7/29/2017,303
7/31/2017,641
8/1/2017,457
8/2/2017,580
8/3/2017,506
8/4/2017,513
8/5/2017,49
8/7/2017,650
8/8/2017,1744
8/9/2017,45
8/10/2017,360
8/11/2017,114
8/12/2017,316
8/14/2017,388
8/15/2017,350
8/16/2017,183
8/17/2017,168
8/18/2017,80
8/19/2017,134
8/21/2017,610
8/22/2017,123
8/23/2017,279
8/24/2017,835
8/25/2017,498
8/26/2017,340
8/28/2017,415
8/29/2017,140
8/30/2017,945
8/31/2017,196
9/1/2017,90
9/2/2017,20
9/4/2017,120
9/5/2017,504
9/6/2017,300
9/8/2017,63
9/9/2017,74
9/11/2017,100
9/12/2017,250
9/13/2017,1000
9/14/2017,205
9/15/2017,45
9/16/2017,235
9/18/2017,736
9/19/2017,90
9/20/2017,25
9/21/2017,120
9/22/2017,239
9/25/2017,497
9/26/2017,40
9/27/2017,1000
9/28/2017,275
9/29/2017,445
9/30/2017,127
10/2/2017,210
10/3/2017,1774
10/4/2017,340
10/5/2017,302
10/6/2017,180
10/7/2017,26
10/9/2017,296
10/10/2017,367
10/11/2017,268
10/12/2017,76
10/14/2017,369
10/16/2017,740
10/17/2017,277
10/18/2017,752
10/19/2017,137
10/20/2017,1342
10/21/2017,240
10/24/2017,1624
10/25/2017,130
10/27/2017,1412
10/28/2017,790
10/30/2017,553
10/31/2017,432
11/1/2017,460
11/2/2017,1425
11/3/2017,388
11/4/2017,320
11/6/2017,402
11/7/2017,6516
11/8/2017,644
11/9/2017,817
11/10/2017,471
11/11/2017,415
11/13/2017,307
11/14/2017,596
11/15/2017,305
11/16/2017,2176
11/17/2017,259
11/18/2017,557
11/20/2017,630
11/21/2017,1320
11/22/2017,355
11/23/2017,400
11/24/2017,1868
11/25/2017,170
11/27/2017,628
11/28/2017,2526
11/29/2017,1185
11/30/2017,1410
12/1/2017,160
12/2/2017,160
12/4/2017,470
12/6/2017,578
12/7/2017,2941
12/8/2017,-97
12/9/2017,735
12/11/2017,271
12/12/2017,1271
12/13/2017,1440
12/14/2017,385
12/15/2017,697
12/16/2017,815
12/18/2017,2447
12/19/2017,1464
12/20/2017,620
12/21/2017,689
12/22/2017,964
12/23/2017,1504
12/25/2017,1121
12/26/2017,1082
12/27/2017,3417
12/28/2017,1535
12/29/2017,5740
1/3/2018,1540
1/4/2018,1260
1/5/2018,1693
1/8/2018,791
1/9/2018,989
1/10/2018,164
1/11/2018,3211
1/12/2018,473
1/13/2018,462
1/15/2018,1712
1/16/2018,-168
1/17/2018,2118
1/18/2018,1514
1/19/2018,485
1/20/2018,905
1/22/2018,450
1/23/2018,935
1/24/2018,1200
1/25/2018,451
1/26/2018,1456
1/27/2018,534
1/29/2018,1011
1/30/2018,643
1/31/2018,1203
2/1/2018,1072
2/2/2018,132
2/3/2018,586
2/5/2018,851
2/6/2018,760
2/7/2018,891
2/8/2018,1390
2/9/2018,1549
2/10/2018,1486
2/12/2018,950
2/13/2018,263
2/14/2018,569
2/15/2018,126
2/19/2018,1062
2/20/2018,1036
2/21/2018,385
2/22/2018,2195
2/23/2018,441
2/24/2018,2567
2/25/2018,6946
2/26/2018,711
2/27/2018,784
2/28/2018,3970
3/2/2018,2912
3/3/2018,362
3/5/2018,2101
3/6/2018,3838
3/7/2018,923
3/8/2018,700
3/9/2018,600
3/10/2018,1391
3/12/2018,410
3/14/2018,4
3/16/2018,760
3/21/2018,72
3/23/2018,25
3/26/2018,48
3/27/2018,-2
3/28/2018,51
3/29/2018,76
4/2/2018,1
4/3/2018,264
4/5/2018,396
4/6/2018,1
4/20/2018,200
4/25/2018,88
4/26/2018,200
5/4/2018,-120
5/7/2018,0
6/7/2018,110
6/8/2018,10
