Date,Passengers
2019-01,0
2019-02,5016
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,3600
2019-08,2400
2019-09,2400
2019-10,1200
2019-11,7416
2019-12,4344
2020-01,0
2020-02,0
2020-03,0
2020-04,0
2020-05,0
2020-06,0
2020-07,2400
2020-08,0
2020-09,1200
2020-10,0
2020-11,2400
2020-12,0
2021-01,720
2021-02,1200
2021-03,3600
2021-04,1200
2021-05,0
2021-06,0
2021-07,0
2021-08,2400
2021-09,3600
2021-10,1200
2021-11,1920
2021-12,4080
