,Quarter,Region,State,Purpose,Trips
0,2015-01-05,155285,691001,4392711.472700011,49012.15870000001
1,2015-01-06,163365,691001,5839155.950000039,42186.215099999994
2,2015-01-07,168346,691001,7332038.2228000285,68905.58739999999
3,2015-01-08,138004,691001,7069219.518000001,91985.22720000002
4,2015-01-09,018566,691001,5025787.23859997,58531.01060000003
5,2015-01-10,141790,864001,6273834.279999994,70374.31229999996
6,2015-01-11,176709,115016,1697880.029999996,10065
7,2015-01-12,148980,691001,7405861.372399979,198681.05080000006
8,2015-01-13,151164,691001,7926003.005699972,149390.9957000001
9,2015-01-14,143305,691001,9041228.306600034,145251.89550000022
10,2015-01-15,137175,691001,10839009.927199956,118086.1347
11,2015-01-16,209216,691001,12747578.057099907,145579.79989999998
12,2015-01-17,163471,119224,11650651.94000001,95924.53670000001
13,2015-01-19,161064,691001,6612015.620299971,74237.51490000001
14,2015-01-20,173395,691001,8043820.377200049,78943.77789999994
15,2015-01-21,105068,691001,8926611.108899985,31391.465700000066
16,2015-01-22,043223,105022,9047560.000000022,55891.97760000002
17,2015-01-23,196554,711005,18770333.71999989,611157.6167999998
18,2015-01-24,114794,522027,12872342.389999999,108538.75850000005
19,2015-01-26,145637,691001,7887992.959999971,98049.97860000003
20,2015-01-27,183059,691001,10579600.656000024,93118.234
21,2015-01-28,120146,691001,11367078.762399998,132133.60409999988
22,2015-01-29,030063,691001,14035615.300700026,166194.0473
23,2015-01-30,194895,691001,14072057.55549991,491881.0673
24,2015-01-31,119171,119408,5406209.5,46390.08700000003
25,2015-02-01,210410,202079,989361.0399999996,5559.3333
26,2015-02-02,159559,691001,8620160.597799933,113811.17619999997
27,2015-02-03,188986,691001,6287242.8456000015,44871.22319999998
28,2015-02-04,089771,691001,7343638.007000002,51075.63859999999
29,2015-02-05,189044,691001,8218521.487400008,67680.8489
30,2015-02-06,200213,691001,1894024.9939999972,11555.2078
31,2015-02-07,192983,226001,8232755.810000033,45085.200000000004
32,2015-02-08,105006,202149,911570.399999999,4739.6
33,2015-02-09,170080,691001,10422692.402600005,124787.45429999998
34,2015-02-10,137878,691001,2689155.21470006,112252.3805
35,2015-02-11,209216,691001,16500407.785999924,116679.79100000003
36,2015-02-12,202415,691001,10022250.069799975,82637.2843
37,2015-02-13,200718,691007,10015033.510499995,89657.26020000002
38,2015-02-14,123321,203091,11022107.250000037,92465.8167
39,2015-02-16,107352,691001,9746812.085999914,147508.2892
40,2015-02-17,134952,691001,11613478.028199982,75653.09210000001
41,2015-02-18,097035,691001,485440.3368,2751.6283999999996
42,2015-02-19,109363,508016,63192,1251
43,2015-02-20,177027,691001,891744.4619999999,8817.5489
44,2015-02-21,206338,501038,530140.6799999996,3360
45,2015-02-23,032142,691001,6869665.602900005,167818.9026
46,2015-02-24,145668,691001,8936943.081100011,69480.33959999999
47,2015-02-25,123321,691001,10051920.661800059,91318.313
48,2015-02-26,129149,691001,13913369.741699992,439528.26529999997
49,2015-02-27,025021,691001,21295605.34329996,549264.7977000001
50,2015-02-28,175412,101010,9001255.639999986,54245.03610000002
51,2015-03-01,200145,206005,4715089.840000008,52118.5
52,2015-03-02,183660,691001,6551127.691699963,48982.79790000008
53,2015-03-03,170097,691001,5868227.458500001,51288.6163
54,2015-03-04,168162,101076,2369833.3100000005,24682
55,2015-03-05,200862,691001,8502436.534300074,96701.673
56,2015-03-06,130992,691001,6221724.267500046,40649.20430000001
57,2015-03-07,051082,102068,4481421.350000028,38745.74830000004
58,2015-03-08,131180,202060,6719611.63000001,42677.9167
59,2015-03-09,FS000722,691001,7525268.017799995,66031.86210000006
60,2015-03-10,117634,691001,12551290.598999983,201138.83529999983
61,2015-03-11,050870,691001,10856878.638699949,182011.68990000003
62,2015-03-12,106904,691001,9294793.258799998,114777.0821
63,2015-03-13,183608,691001,7397994.231100013,76327.56999999998
64,2015-03-14,206697,101049,7601298.670000003,53692.4
65,2015-03-15,148690,119322,2784174.0000000014,21438.500100000005
66,2015-03-16,015787,691001,7191500.353099988,49928.342400000016
67,2015-03-17,175412,691007,10682469.067099893,271642.5695999999
68,2015-03-18,210465,691001,6609274.379000003,73320.19720000001
69,2015-03-19,189198,691007,11416462.699899966,78603.75400000006
70,2015-03-20,106805,691001,9013932.612800011,99392.7797
71,2015-03-21,073008,115016,712435.7599999997,4284.191699999999
72,2015-03-22,030599,214065,6851722.010000014,36232.49360000007
73,2015-03-23,018511,691001,7828076.481800054,90956.69030000002
74,2015-03-24,210410,691001,6404715.971599944,60852.37990000005
75,2015-03-25,148614,691001,7995374.929599965,66041.6195
76,2015-03-26,159986,691001,16756906.993899906,321903.9494000006
77,2015-03-27,139179,691001,11317955.725100035,137395.73440000002
78,2015-03-28,192181,691001,10386324.95169992,94248.2525
79,2015-03-29,200992,691001,7756.701300000001,29.146100000000033
80,2015-03-30,124007,691001,15127740.870999997,245680.62080000003
81,2015-03-31,FS001347,691001,15088361.216599977,307272.8213000002
82,2015-04-01,124083,691001,10043870.68430013,74341.43360000021
83,2015-04-02,145668,691001,9527760.305699985,390969.20869999996
84,2015-04-03,173395,691001,17266872.935500007,160854.8391999999
85,2015-04-04,015886,102071,8200162.939999976,41988.12060000005
86,2015-04-06,116132,691001,7751964.806499978,40125.66300000007
87,2015-04-07,139803,691001,5732390.864800154,75354.78890000025
88,2015-04-08,197124,691001,8851042.690799974,690652.3377
89,2015-04-09,FS001699,691001,9582880.36689999,83098.72850000006
90,2015-04-10,121549,691001,13842713.842400052,343083.6835
91,2015-04-11,222116,102118,3127943.2300000233,29730.747500000034
92,2015-04-16,105051,691001,12617497.004099974,32635.88410000003
93,2015-04-17,FS000340,691001,9294601.79089995,58845.14170000003
94,2015-04-18,009267,119365,9676831.860000003,77096.56730000001
95,2015-04-19,004576,103081,4147078.4100000053,37500.96
96,2015-04-20,208998,691001,9574692.5435,274940.1803000001
97,2015-04-21,173517,691001,9101263.856900042,116095.21380000003
98,2015-04-22,197964,691007,7241122.174999997,172087.29570000002
99,2015-04-23,050900,691001,12995582.294600017,294876.05890000006
100,2015-04-24,153779,691001,9633654.029600013,69662.87969999999
101,2015-04-25,221379,618074,8997371.740000041,53219.8333
102,2015-04-26,194994,103131,3360121.530000001,29405.1667
103,2015-04-27,144296,691001,11514977.77239995,110207.54519999992
104,2015-04-28,121013,691001,14051167.813800002,382592.1546999999
105,2015-04-29,145668,691001,10076882.457099995,272142.93510000035
106,2015-04-30,139162,691001,20704777.978600293,603065.7974999995
107,2015-05-04,134280,691001,8236821.5336000575,82542.92160000002
108,2015-05-05,168124,603160,7851287.050000063,96098.6667
109,2015-05-06,FS000524,691001,8515423.231600009,56965.743500000004
110,2015-05-07,150587,691001,10408466.745799981,88342.83440000004
111,2015-05-08,FS001248,691001,12085035.64679999,167530.9482
112,2015-05-09,206307,503241,9305700.250000063,49218.54560000007
113,2015-05-10,189150,602207,6041582.600000022,53055.3333
114,2015-05-11,156725,691001,9170786.65660006,88786.12520000001
115,2015-05-12,123321,691001,10148621.235300042,114363.54769999995
116,2015-05-13,215866,691001,9799633.798999928,159309.1033
117,2015-05-14,FS002573,691001,11555799.409799967,113158.4134
118,2015-05-15,173500,691001,6630801.977100019,129514.63859999999
119,2015-05-16,043223,601001,9819127.719999935,67762.46680000001
120,2015-05-18,050900,691001,14104762.067399992,194485.53040000008
121,2015-05-19,FS000067,691001,13194328.98169999,92162.07520000014
122,2015-05-20,193690,691001,9850880.503999978,154219.6202
123,2015-05-21,145668,691001,12948571.894200131,110172.91740000005
124,2015-05-22,166274,691001,18401339.27980009,463929.76940000005
125,2015-05-23,104634,519437,5983504.039999995,52635.47310000012
126,2015-05-24,097592,615071,1103899.8099999996,25786
127,2015-05-25,145699,691001,10701564.738999987,72701.4823
128,2015-05-26,080556,691001,13515255.227000052,205096.60789999992
129,2015-05-27,080433,691001,10675698.44969994,90278.72469999998
130,2015-05-28,162825,691001,13178121.333099967,142159.2828
131,2015-05-29,050900,691001,9208840.588800002,112934.42229999987
132,2015-05-30,090609,501077,6503781.469999982,56128.32450000003
133,2015-05-31,042288,102033,5134753.430000025,28143.666599999997
134,2015-06-02,183431,691001,11076004.243599964,264343.12889999995
135,2015-06-03,197131,691001,11702988.543799948,54312.97230000002
136,2015-06-04,167936,691001,12396014.272099962,129009.29650000001
137,2015-06-05,210199,691001,9187118.176099986,56537.016900000024
138,2015-06-06,137939,603160,9762698.739999952,79063.92120000008
139,2015-06-07,080679,602249,2285782.2600000002,20971
140,2015-06-08,137984,691001,15936686.751299981,362547.1687
141,2015-06-09,104399,691001,10284476.328699937,181059.97429999989
142,2015-06-10,135096,691001,10925494.419499947,149658.6438
143,2015-06-11,115357,691001,12658520.675199969,315755.26980000007
144,2015-06-12,187538,691001,9883270.093899978,144720.47209999998
145,2015-06-13,083243,211053,9963209.569999969,60585.22259999998
146,2015-06-15,108540,691001,15898738.264999969,307896.45730000007
147,2015-06-16,148706,691001,10883449.233299997,122735.9472
148,2015-06-17,212568,691001,12130839.451600024,214609.03869999995
149,2015-06-18,043223,691001,15831962.536599832,254013.6495
150,2015-06-19,192181,691001,10622479.284699954,271861.77480000025
151,2015-06-20,066772,101082,9182271.640000015,102738.60170000001
152,2015-06-22,104597,691001,10935896.075699966,90916.51859999997
153,2015-06-23,050870,691001,18044737.64869998,549925.1515000002
154,2015-06-24,109554,691001,14278863.395700023,123663.824
155,2015-06-25,115128,691001,10307978.901599979,121840.51939999999
156,2015-06-26,171063,691001,11605095.845199984,118851.3422
157,2015-06-27,105068,203102,8148564.3400000185,79257.5578
158,2015-06-29,037123,691001,13743927.340499995,308389.2940000002
159,2015-06-30,166915,691001,19909024.196100008,610499.1163999992
160,2015-07-01,FS000265,691001,9079897.11180003,99843.93
161,2015-07-02,200299,691001,8965909.771700054,104972.32710000002
162,2015-07-03,106928,691001,12231155.714999964,102009.39770000003
163,2015-07-04,108502,602058,9465410.780000038,63322.66700000003
164,2015-07-06,098438,691001,5974154.825400017,57386.90890000022
165,2015-07-07,125059,691001,14493655.755900018,371868.7375
166,2015-07-08,121389,691001,8054770.64660004,71213.90999999999
167,2015-07-09,221157,691001,8049583.879899998,66822.04310000005
168,2015-07-10,202101,691001,8518431.98329998,94906.32440000007
169,2015-07-11,131180,219241,4611377.090000019,48248.843100000064
170,2015-07-13,194895,691001,7656656.38829999,88606.97890000003
171,2015-07-14,086510,691001,11010335.29719994,86019.08859999999
172,2015-07-15,000233,691001,6623716.068600037,93615.23040000006
173,2015-07-16,050900,691001,10602534.604499966,114445.65900000009
174,2015-07-17,104825,691001,10926145.120099993,242997.59059999997
175,2015-07-18,090586,519206,5465810.780000018,36022.872000000025
176,2015-07-20,124038,691001,11564344.650099995,130815.46180000016
177,2015-07-21,043261,691001,10481889.442099957,367666.67139999993
178,2015-07-22,004156,691001,10234405.796799922,182213.48010000004
179,2015-07-23,101824,691001,9169008.159299873,55294.551800000016
180,2015-07-24,141004,691001,12093489.768400017,197256.06930000003
181,2015-07-25,119645,503232,4990862.580000013,65758.0363000001
182,2015-07-27,224202,691001,14285428.02000003,367211.90499999997
183,2015-07-28,002305,691001,11780519.05070014,115054.51379999994
184,2015-07-29,FS001774,691001,21654414.076299936,508554.3284999996
185,2015-07-30,018535,115002,8298200.3000000045,55133.84149999999
186,2015-07-31,174057,691001,16646267.021900019,599364.326999993
187,2015-08-03,FS001774,691001,9756407.213000007,100959.50430000003
188,2015-08-04,200312,691001,13029090.646099923,272108.5678000002
189,2015-08-05,126797,691001,7567029.50040001,56687.01210000002
190,2015-08-06,158552,691001,9866667.894300023,75321.10390000005
191,2015-08-07,162825,691001,8755862.421300033,70504.1798
192,2015-08-08,221911,212038,7400600.380000004,74642.77630000001
193,2015-08-10,162306,691001,7876017.8342,105147.72230000008
194,2015-08-11,206819,691001,10343384.309200041,160653.58250000002
195,2015-08-13,050900,691001,10814860.93069991,83183.5889
196,2015-08-14,212612,691001,14530957.245400006,236487.1198
197,2015-08-15,025519,102068,8754617.36999998,375951.6085
198,2015-08-17,143459,691001,13439431.105999982,179557.19660000008
199,2015-08-18,050870,691001,11396183.047699971,100790.28150000004
200,2015-08-19,FI528003,691001,12788825.923600039,119636.7929
201,2015-08-20,206079,691001,8040844.45530001,77318.40870000007
202,2015-08-21,130961,691001,5700967.622299951,61667.751000000004
203,2015-08-22,196691,202015,9801842.799999973,77387.50250000005
204,2015-08-23,106805,602258,832057.0199999997,6537
205,2015-08-24,104399,691001,10239377.51139997,127489.97350000005
206,2015-08-25,125059,691001,11905139.72780006,116920.44910000007
207,2015-08-26,FS000739,691001,10840695.51120003,77077.43890000002
208,2015-08-27,168438,691001,19277115.91439982,405643.61890000006
209,2015-08-28,083731,691007,13601922.301400034,273204.9963
210,2015-08-29,212759,605077,8449647.390000023,93066.29480000008
211,2015-08-30,117313,619295,3751488.8600000185,26647.6
212,2015-08-31,050917,691001,17194182.517499954,573085.2367999988
213,2015-09-01,161972,691001,11971287.63719992,66572.13989999998
214,2015-09-02,194383,691001,9407337.38280013,112048.69600000003
215,2015-09-03,124052,691001,8653137.923299994,95345.40420000003
216,2015-09-04,148706,691001,7186202.664800045,73471.63989999998
217,2015-09-05,237301,603160,7207625.110000017,42881.633400000006
218,2015-09-07,FS000562,691001,9186858.37100001,120749.73500000003
219,2015-09-08,148690,691001,10676443.947599988,96029.6521
220,2015-09-09,014827,691001,12265159.324000053,189130.55080000006
221,2015-09-10,050900,691001,8935009.786600044,80871.63190000002
222,2015-09-11,128883,691007,9942541.458899952,115252.66350000002
223,2015-09-12,115296,115016,10347030.230000202,100070.65839999997
224,2015-09-14,FS002580,691001,7666141.87419996,94607.7188
225,2015-09-15,025021,691001,8789510.983199894,107908.32250000002
226,2015-09-16,124083,691001,9207566.223999977,70451.56290000003
227,2015-09-17,076467,691001,11851875.962000022,148765.50980000003
228,2015-09-18,104399,691001,15215689.732500004,185052.73740000013
229,2015-09-19,210335,206005,11958955.049999984,128474.16559999995
230,2015-09-21,112233,691001,10912297.500799969,145042.40179999996
231,2015-09-22,155346,691001,15731521.705400063,170096.7701
232,2015-09-23,116972,691001,10232040.107700031,121603.03549999998
233,2015-09-24,164706,691001,10566845.314799959,52818.57530000003
234,2015-09-25,097035,691001,16923707.912699822,169601.35839999988
235,2015-09-26,153328,202107,9586915.0700001,113136.52459999999
236,2015-09-28,032227,691001,11619784.07310006,115204.6723000001
237,2015-09-29,097608,691001,17700884.521400016,535326.0197
238,2015-09-30,080563,691001,19183812.050699845,630809.0469999962
239,2015-10-01,032227,691001,15190207.474300053,112068.76910000002
240,2015-10-02,050900,691001,13134079.19900001,70010.33750000004
